activity_id,viewer_id,movie_id,watch_date,watch_duration_min,completion_pct,device
1,1479,10,2025-01-15,34,21.1,Tablet
2,4678,1,2024-08-29,28,27.5,Tablet
3,455,2,2024-11-17,25,24.8,Desktop
4,4318,10,2025-02-10,124,77.0,Mobile
5,2678,4,2024-08-10,130,81.8,Desktop
6,231,3,2024-07-21,24,26.1,Desktop
7,445,6,2025-03-08,106,74.6,Desktop
8,365,3,2024-10-14,9,9.8,Tablet
9,4249,10,2025-02-13,124,77.0,Tablet
10,3050,6,2025-02-19,58,40.8,Smart TV
11,4383,3,2024-12-19,35,38.0,Mobile
12,143,1,2024-10-21,30,29.4,Smart TV
13,672,4,2025-03-21,104,65.4,Smart TV
14,545,2,2024-11-25,63,62.4,Desktop
15,767,4,2024-06-12,151,95.0,Desktop
16,4808,10,2024-11-26,47,29.2,Mobile
17,1629,2,2025-01-31,43,42.6,Smart TV
18,465,9,2024-09-09,29,29.6,Mobile
19,3852,10,2024-07-13,111,68.9,Desktop
20,762,10,2024-07-29,132,82.0,Desktop
21,1237,7,2024-08-17,11,10.9,Mobile
22,968,4,2025-01-22,45,28.3,Tablet
23,1144,8,2024-06-28,101,83.5,Mobile
24,950,10,2024-07-28,27,16.8,Tablet
25,1061,7,2024-09-01,18,17.8,Mobile
26,262,2,2025-01-15,84,83.2,Desktop
27,3586,6,2024-10-06,140,98.6,Desktop
28,304,10,2024-10-29,59,36.6,Desktop
29,2764,7,2024-09-15,53,52.5,Mobile
30,2470,3,2025-02-22,63,68.5,Mobile
31,1443,3,2024-07-22,41,44.6,Mobile
32,4575,5,2024-12-20,10,6.9,Desktop
33,4723,6,2024-11-15,7,4.9,Desktop
34,2349,3,2024-12-10,81,88.0,Desktop
35,1587,1,2024-12-05,80,78.4,Smart TV
36,11,7,2024-09-18,13,12.9,Smart TV
37,4068,3,2024-06-09,79,85.9,Mobile
38,972,4,2024-08-12,121,76.1,Smart TV
39,2942,4,2025-03-09,113,71.1,Smart TV
40,3174,9,2024-11-05,51,52.0,Desktop
41,2125,4,2024-07-09,11,6.9,Desktop
42,3948,1,2024-06-28,23,22.5,Tablet
43,1327,2,2025-02-01,51,50.5,Desktop
44,2277,9,2024-07-01,68,69.4,Desktop
45,3630,10,2024-07-14,20,12.4,Tablet
46,184,7,2024-12-29,80,79.2,Desktop
47,2306,3,2025-02-27,21,22.8,Mobile
48,2139,6,2024-08-21,86,60.6,Mobile
49,266,4,2024-10-06,78,49.1,Mobile
50,2976,2,2024-12-25,7,6.9,Tablet
51,3020,10,2025-01-03,120,74.5,Smart TV
52,3039,10,2025-01-13,21,13.0,Smart TV
53,3483,6,2024-08-28,77,54.2,Desktop
54,872,5,2024-08-10,127,87.6,Smart TV
55,23,8,2024-07-27,60,49.6,Mobile
56,971,9,2025-02-19,12,12.2,Mobile
57,219,1,2024-12-29,31,30.4,Desktop
58,3266,2,2024-10-20,62,61.4,Mobile
59,3472,8,2025-02-20,25,20.7,Mobile
60,4235,9,2024-07-20,6,6.1,Smart TV
61,1214,8,2024-06-16,18,14.9,Mobile
62,3797,6,2024-07-14,20,14.1,Desktop
63,3348,9,2025-01-18,10,10.2,Mobile
64,3785,4,2024-09-26,18,11.3,Smart TV
65,2358,2,2024-12-02,11,10.9,Smart TV
66,1635,8,2024-12-23,43,35.5,Desktop
67,1611,2,2024-06-13,95,94.1,Mobile
68,1489,10,2024-11-26,116,72.0,Smart TV
69,3519,8,2024-10-08,59,48.8,Tablet
70,988,1,2025-03-15,31,30.4,Mobile
71,1642,6,2024-12-24,55,38.7,Desktop
72,3584,8,2024-12-19,37,30.6,Tablet
73,2894,3,2025-03-27,15,16.3,Mobile
74,1133,9,2025-01-30,35,35.7,Mobile
75,2180,1,2024-12-24,12,11.8,Tablet
76,2545,7,2024-11-17,17,16.8,Mobile
77,415,2,2025-01-15,19,18.8,Tablet
78,2067,8,2024-06-20,20,16.5,Mobile
79,4456,5,2025-03-10,65,44.8,Mobile
80,4704,10,2024-06-02,74,46.0,Smart TV
81,2595,4,2024-08-28,21,13.2,Mobile
82,311,5,2024-10-31,133,91.7,Tablet
83,4336,7,2025-02-08,82,81.2,Desktop
84,3795,2,2025-01-11,30,29.7,Mobile
85,4940,7,2025-03-12,53,52.5,Smart TV
86,3130,2,2024-07-21,57,56.4,Desktop
87,2349,4,2024-06-26,129,81.1,Tablet
88,2181,8,2024-10-06,78,64.5,Desktop
89,3580,3,2024-09-02,46,50.0,Desktop
90,4842,9,2024-10-27,90,91.8,Mobile
91,121,10,2024-07-05,119,73.9,Smart TV
92,1144,3,2024-06-14,60,65.2,Desktop
93,4224,8,2025-01-22,11,9.1,Desktop
94,3365,2,2024-06-29,16,15.8,Desktop
95,2126,1,2024-07-19,85,83.3,Mobile
96,4683,4,2025-02-18,99,62.3,Tablet
97,685,3,2025-01-14,19,20.7,Mobile
98,4815,9,2024-10-27,69,70.4,Mobile
99,3269,2,2024-10-12,74,73.3,Smart TV
100,1317,9,2024-08-01,22,22.4,Tablet
101,4204,6,2024-09-28,138,97.2,Tablet
102,3586,9,2024-06-06,52,53.1,Desktop
103,2126,1,2025-03-04,8,7.8,Mobile
104,2624,7,2025-01-29,65,64.4,Mobile
105,3116,3,2025-03-16,29,31.5,Mobile
106,750,5,2024-07-14,108,74.5,Desktop
107,4837,9,2024-10-17,68,69.4,Desktop
108,4585,10,2025-02-14,113,70.2,Desktop
109,3213,8,2025-03-24,97,80.2,Tablet
110,354,1,2024-11-29,39,38.2,Desktop
111,725,2,2025-03-25,38,37.6,Tablet
112,3500,2,2024-06-23,50,49.5,Tablet
