region_id,city,movie_id,views,engagement_score,revenue_usd,month
1,New York,7,272334,7.88,1093518.06,2025-01
2,Boston,9,397432,9.63,473140.82,2024-11
3,Boston,6,315949,8.69,1191983.82,2025-03
4,Chicago,4,78849,8.42,940525.43,2024-08
5,Los Angeles,5,229014,2.13,1648680.32,2025-02
6,Denver,3,435693,9.46,1092127.26,2024-07
7,Denver,10,424030,3.68,1595490.28,2024-12
8,San Francisco,4,286533,1.71,790330.82,2025-01
9,Los Angeles,3,290555,8.12,1726989.1,2024-11
10,Los Angeles,4,96532,8.83,1801975.34,2025-04
11,Seattle,4,453995,9.06,1556936.82,2025-03
12,Denver,10,80090,8.49,285676.2,2024-12
13,Boston,2,499917,4.83,1672338.75,2025-04
14,Boston,9,426833,6.35,1087757.03,2024-07
15,San Francisco,3,53066,4.04,267494.8,2025-02
16,Phoenix,2,320938,2.64,1772973.03,2025-04
17,Los Angeles,6,102969,8.15,1250272.73,2024-08
18,Boston,2,311533,8.15,1679898.55,2025-03
19,Denver,6,292907,2.19,1605598.09,2024-10
20,San Francisco,7,94014,2.84,776793.53,2024-07
21,New York,3,245882,8.66,402115.51,2024-11
22,Phoenix,3,180598,7.87,220299.88,2024-08
23,Los Angeles,1,426680,6.41,19272.66,2024-07
24,San Francisco,4,328068,9.14,97722.29,2025-04
25,Miami,7,354239,9.39,240267.06,2025-02
26,Chicago,10,93935,9.16,1548719.46,2025-03
27,Houston,3,68795,6.88,1966446.64,2025-03
28,Houston,8,155144,4.78,344372.81,2024-07
29,Denver,1,237399,2.84,1854140.72,2025-02
30,Los Angeles,8,169751,7.35,793995.52,2025-03
31,Houston,8,316806,8.8,990441.98,2025-01
32,Seattle,4,367779,5.09,471838.5,2025-02
33,Houston,4,457824,8.22,669256.88,2024-11
34,Denver,3,400087,7.62,61641.98,2025-03
35,Boston,2,189299,6.61,1236618.56,2024-07
36,Miami,6,218075,7.72,1816765.6,2025-03
37,Miami,7,482329,2.02,1670649.45,2024-12
38,San Francisco,4,165779,9.41,1496395.64,2024-10
39,San Francisco,10,86023,8.87,119623.46,2025-01
40,Seattle,8,311471,5.68,1043586.29,2025-04
41,Seattle,9,134512,2.2,1761697.27,2024-12
42,Miami,5,354286,6.68,1552353.87,2024-09
43,Houston,5,139779,6.39,1608318.73,2024-09
44,Chicago,8,285589,5.24,1718551.62,2025-03
45,Denver,1,184051,5.29,1049785.37,2024-08
46,New York,10,39504,2.87,1578747.53,2024-11
47,Chicago,10,219568,4.78,424016.12,2024-09
48,Los Angeles,9,335464,5.89,225068.07,2024-09
49,Los Angeles,7,138784,7.9,97916.94,2024-07
50,New York,10,1013,9.74,1078023.13,2025-03
51,Seattle,10,231353,2.42,1599974.6,2025-04
52,Boston,6,236694,9.42,1369427.17,2024-07
53,Los Angeles,1,124611,9.89,496688.36,2024-07
54,Phoenix,9,135357,5.32,1185649.64,2024-10
55,Boston,8,65346,8.7,809325.64,2025-02
56,Boston,10,4813,6.61,570485.21,2024-09
57,Houston,6,19037,2.49,240501.05,2025-04
58,Houston,1,97993,8.18,434588.29,2024-09
59,Boston,2,155908,6.11,927891.5,2024-10
60,Los Angeles,1,211202,1.2,1644785.82,2025-01
61,Chicago,2,189951,6.24,1308152.09,2024-11
62,Miami,1,168226,5.66,1586000.69,2025-04
63,Los Angeles,10,168818,4.41,1146445.07,2024-10
64,Miami,7,179158,1.96,69936.4,2025-03
65,Seattle,10,395669,2.02,1225466.7,2025-01
66,San Francisco,9,93631,5.87,224918.51,2024-10
67,San Francisco,10,64254,6.67,211363.29,2025-01
68,San Francisco,8,8167,9.34,1524930.58,2024-11
69,Miami,3,360726,8.04,333169.96,2025-03
70,Phoenix,8,288684,2.75,19007.95,2025-01
71,Boston,4,316408,7.07,483319.21,2025-01
72,Los Angeles,6,296538,1.41,1993018.73,2024-09
73,Seattle,7,470718,6.81,1420995.7,2025-02
74,Los Angeles,7,71690,7.04,630008.74,2024-09
75,Seattle,7,392041,4.21,1843028.27,2024-08
76,Seattle,6,241450,8.05,1594840.66,2024-12
77,Miami,1,76763,5.53,260204.12,2024-11
78,New York,3,360436,7.59,64543.63,2025-04
79,Chicago,4,380310,5.19,301363.56,2025-01
80,Seattle,10,353454,1.94,1196894.28,2024-08
81,San Francisco,8,88908,4.51,317331.55,2024-08
82,Houston,7,180662,7.15,1976992.64,2024-09
83,Phoenix,4,297925,9.92,595736.45,2024-12
84,Seattle,9,343390,3.28,40378.77,2024-07
85,Seattle,6,370326,5.85,153410.74,2025-03
86,Phoenix,4,179166,6.04,1305191.91,2024-08
87,Phoenix,10,444046,1.56,1008169.04,2025-03
88,Chicago,5,107845,9.28,1593324.14,2025-02
89,San Francisco,9,18381,1.4,778988.7,2024-09
90,Chicago,8,259968,1.77,310603.27,2024-07
91,Chicago,1,340057,5.4,489783.59,2024-09
92,Los Angeles,1,179316,4.9,1410134.74,2024-08
93,Denver,2,209281,8.87,739854.13,2024-11
94,Los Angeles,2,372558,2.61,1523535.1,2024-12
95,Los Angeles,8,112692,8.05,1767761.28,2025-03
96,Phoenix,2,338419,5.42,59992.23,2024-09
97,Chicago,8,285659,3.01,207508.6,2025-01
98,Boston,6,76853,3.23,730630.6,2025-04
99,Houston,10,89682,6.9,110547.61,2024-07
100,Houston,3,444643,3.49,1475738.18,2025-02
101,Chicago,2,69741,1.92,1826867.92,2025-03
102,San Francisco,5,338534,2.56,2587.1,2024-07
103,Boston,5,170326,4.08,506273.98,2025-01
104,Houston,10,297498,8.8,1527440.64,2024-11
105,Houston,4,59404,7.06,1114200.56,2024-07
106,Denver,8,273895,4.32,1600537.24,2024-12
107,Houston,3,389651,1.34,1285151.72,2024-10
108,Phoenix,2,477291,7.82,328836.01,2025-02
109,Los Angeles,4,115557,6.1,1323780.0,2024-12
110,New York,3,61896,9.1,720423.91,2024-08
111,Los Angeles,6,297635,5.26,1226883.39,2025-03
112,Seattle,7,148393,2.79,210965.61,2024-09
113,Seattle,2,150944,4.3,111752.53,2024-09
114,San Francisco,5,467931,9.85,1052489.9,2024-10
115,Phoenix,6,39631,2.33,189290.05,2025-04
116,San Francisco,9,335221,5.25,1213623.22,2024-09
117,Seattle,4,198327,8.0,368655.05,2024-11
118,Chicago,3,169186,6.06,431712.62,2025-01
119,Houston,6,13488,2.4,1161348.6,2025-03
120,Houston,6,172966,5.32,4452.45,2025-03
121,Denver,5,237371,4.71,654078.86,2024-09
122,Miami,7,290939,2.88,1091374.35,2024-11
123,Houston,3,499548,3.47,1615599.49,2025-01
124,Los Angeles,2,162928,3.04,442627.59,2024-10
125,Houston,6,13877,4.67,1136911.26,2024-11
126,Phoenix,5,222369,8.49,1338635.44,2025-02
127,Los Angeles,8,144927,6.45,1229214.26,2024-12
128,San Francisco,3,321181,9.63,1086731.95,2025-02
129,Los Angeles,8,473344,9.41,844523.25,2024-12
130,Houston,3,33852,4.94,6990.18,2024-08
131,Los Angeles,8,411160,5.26,1803311.99,2025-01
132,Phoenix,10,437175,9.61,1436051.36,2024-11
133,Seattle,6,273780,6.96,1228039.37,2024-11
134,Boston,3,39277,7.06,989990.87,2025-03
135,San Francisco,8,30886,9.59,1850255.84,2024-11
136,New York,10,403284,6.35,1482424.89,2024-09
137,Seattle,5,335206,2.89,797027.31,2024-07
138,Chicago,6,419476,8.17,625782.49,2024-12
139,Chicago,6,32911,9.92,235267.76,2025-04
140,San Francisco,5,14825,1.8,1214827.95,2024-12
141,San Francisco,10,273367,8.43,1480070.47,2025-03
142,Houston,5,101315,5.32,341873.78,2024-08
143,New York,6,88565,5.56,475181.18,2025-04
144,Seattle,4,106128,1.53,1826403.05,2024-10
145,Denver,5,61879,5.49,1982986.81,2025-02
146,Los Angeles,5,446620,7.84,920323.28,2024-07
147,Boston,7,6479,2.68,1746874.82,2024-07
148,Los Angeles,6,293789,1.98,372124.5,2025-03
149,Denver,1,153876,5.01,1922291.09,2024-10
150,Chicago,1,364443,1.14,263396.08,2024-11
