review_id,viewer_id,movie_id,rating,sentiment,review_date,review_text
1,99,6,6.1,neutral,2025-02-27,"Not bad, but could have been better with tighter editing."
2,4556,7,8.7,positive,2025-02-05,Absolutely loved this film! The storytelling was phenomenal.
3,3566,2,5.5,neutral,2024-09-17,"Not bad, but could have been better with tighter editing."
4,3088,4,9.9,positive,2024-12-14,Brilliant direction and an engaging plot from start to finish.
5,2708,4,5.8,neutral,2024-09-21,"Not bad, but could have been better with tighter editing."
6,4703,7,8.3,positive,2024-09-26,Exceeded my expectations in every way possible.
7,1212,3,8.7,positive,2025-01-07,Exceeded my expectations in every way possible.
8,609,6,3.0,negative,2024-06-01,The pacing was terrible and the acting felt forced throughout.
9,4501,8,7.9,positive,2024-10-04,Exceeded my expectations in every way possible.
10,1349,2,7.2,positive,2024-10-27,A must-watch for fans of the genre. Highly recommended.
11,1070,7,7.8,positive,2024-06-14,Absolutely loved this film! The storytelling was phenomenal.
12,4876,2,5.9,neutral,2024-10-17,"Some good parts, some slow parts. Mixed feelings overall."
13,1936,7,8.5,positive,2024-12-11,Brilliant direction and an engaging plot from start to finish.
14,2598,10,9.3,positive,2024-07-29,Brilliant direction and an engaging plot from start to finish.
15,2442,8,5.9,neutral,2024-09-27,"It was okay, nothing too special but watchable."
16,3615,9,7.6,positive,2025-02-25,A must-watch for fans of the genre. Highly recommended.
17,4145,10,9.4,positive,2024-11-25,Exceeded my expectations in every way possible.
18,2005,2,2.8,negative,2025-03-02,Would not recommend. Wasted potential on a promising premise.
19,4923,7,7.8,positive,2024-07-04,A must-watch for fans of the genre. Highly recommended.
20,2623,3,4.4,negative,2024-11-21,The pacing was terrible and the acting felt forced throughout.
21,2275,4,8.4,positive,2025-01-11,Exceeded my expectations in every way possible.
22,4159,5,5.3,neutral,2025-02-19,"It was okay, nothing too special but watchable."
23,596,10,8.2,positive,2024-07-12,A must-watch for fans of the genre. Highly recommended.
24,3843,6,4.3,negative,2024-12-09,Not worth the hype. Overly long and lacking substance.
25,1810,3,9.5,positive,2024-09-04,Brilliant direction and an engaging plot from start to finish.
26,234,1,3.6,negative,2024-11-13,Disappointed with the plot. Very predictable and boring.
27,929,8,5.6,neutral,2024-09-26,"Not bad, but could have been better with tighter editing."
28,266,6,8.1,positive,2025-03-18,Brilliant direction and an engaging plot from start to finish.
29,1515,5,7.8,positive,2024-12-27,Great performances and stunning visuals throughout.
30,1104,4,7.3,positive,2024-09-28,Exceeded my expectations in every way possible.
31,3330,6,9.3,positive,2024-09-30,Absolutely loved this film! The storytelling was phenomenal.
32,3019,10,9.6,positive,2025-01-28,Great performances and stunning visuals throughout.
33,165,10,9.0,positive,2024-12-20,Brilliant direction and an engaging plot from start to finish.
34,984,10,3.0,negative,2024-12-24,The pacing was terrible and the acting felt forced throughout.
35,4005,6,3.0,negative,2025-01-27,Not worth the hype. Overly long and lacking substance.
36,3901,4,5.3,neutral,2025-01-25,"Some good parts, some slow parts. Mixed feelings overall."
37,4817,8,2.0,negative,2025-01-20,Below average. The script needed a lot more work.
38,3583,7,9.2,positive,2024-12-28,Brilliant direction and an engaging plot from start to finish.
39,4085,9,9.0,positive,2024-11-14,Exceeded my expectations in every way possible.
40,453,5,4.2,negative,2024-10-21,Disappointed with the plot. Very predictable and boring.
41,1151,10,2.8,negative,2024-12-22,Disappointed with the plot. Very predictable and boring.
42,223,2,9.7,positive,2024-06-09,Brilliant direction and an engaging plot from start to finish.
43,1491,3,1.9,negative,2024-12-25,Not worth the hype. Overly long and lacking substance.
44,2832,5,8.6,positive,2024-12-15,Exceeded my expectations in every way possible.
45,643,6,8.9,positive,2025-01-04,A must-watch for fans of the genre. Highly recommended.
46,2618,4,8.4,positive,2025-03-27,Absolutely loved this film! The storytelling was phenomenal.
47,2587,9,5.3,neutral,2024-07-17,"Decent entertainment for a weekend, nothing groundbreaking."
48,4531,8,6.6,neutral,2024-06-18,"Some good parts, some slow parts. Mixed feelings overall."
49,4054,6,2.2,negative,2024-11-09,Not worth the hype. Overly long and lacking substance.
50,2987,4,6.6,neutral,2024-12-18,"Some good parts, some slow parts. Mixed feelings overall."
51,4273,4,7.4,positive,2024-12-07,Exceeded my expectations in every way possible.
52,197,6,9.2,positive,2024-07-13,Exceeded my expectations in every way possible.
53,3404,8,5.8,neutral,2024-09-02,"It was okay, nothing too special but watchable."
54,2602,7,8.6,positive,2025-03-08,Great performances and stunning visuals throughout.
55,1501,8,9.3,positive,2025-02-22,Exceeded my expectations in every way possible.
56,4561,3,2.8,negative,2024-07-28,The pacing was terrible and the acting felt forced throughout.
57,692,4,7.5,positive,2025-01-29,Brilliant direction and an engaging plot from start to finish.
58,3491,4,7.0,positive,2025-03-17,Great performances and stunning visuals throughout.
59,1768,1,8.1,positive,2024-12-26,Brilliant direction and an engaging plot from start to finish.
60,3483,9,5.4,neutral,2024-08-03,"Some good parts, some slow parts. Mixed feelings overall."
61,3234,7,7.6,positive,2024-11-20,Great performances and stunning visuals throughout.
62,3890,8,6.9,neutral,2024-12-08,"It was okay, nothing too special but watchable."
63,3678,4,3.3,negative,2024-11-15,Would not recommend. Wasted potential on a promising premise.
64,3621,8,8.0,positive,2024-08-06,Absolutely loved this film! The storytelling was phenomenal.
65,1466,6,7.9,positive,2025-02-28,Absolutely loved this film! The storytelling was phenomenal.
66,212,9,6.1,neutral,2024-11-11,"Some good parts, some slow parts. Mixed feelings overall."
67,1731,6,2.8,negative,2025-02-04,Not worth the hype. Overly long and lacking substance.
68,1221,1,6.6,neutral,2025-02-25,"Not bad, but could have been better with tighter editing."
69,135,5,9.8,positive,2024-07-14,A must-watch for fans of the genre. Highly recommended.
70,2482,10,9.2,positive,2024-10-04,Exceeded my expectations in every way possible.
71,974,7,7.0,positive,2024-07-29,Exceeded my expectations in every way possible.
72,3578,2,8.9,positive,2024-09-27,A must-watch for fans of the genre. Highly recommended.
73,3609,6,6.4,neutral,2024-06-24,"It was okay, nothing too special but watchable."
74,2465,1,8.0,positive,2025-03-11,A must-watch for fans of the genre. Highly recommended.
75,190,7,6.3,neutral,2025-03-20,Average movie with some interesting moments here and there.
76,3150,5,6.9,neutral,2024-11-05,"It was okay, nothing too special but watchable."
77,2854,9,5.9,neutral,2024-06-21,"Not bad, but could have been better with tighter editing."
78,3226,4,4.2,negative,2025-03-15,The pacing was terrible and the acting felt forced throughout.
79,1350,5,8.5,positive,2024-12-03,A must-watch for fans of the genre. Highly recommended.
80,797,8,9.7,positive,2024-06-20,Brilliant direction and an engaging plot from start to finish.
81,530,5,5.5,neutral,2024-09-03,Average movie with some interesting moments here and there.
82,3334,7,8.9,positive,2024-10-05,Brilliant direction and an engaging plot from start to finish.
83,286,5,6.5,neutral,2024-11-30,"It was okay, nothing too special but watchable."
84,4507,9,7.1,positive,2024-12-31,Brilliant direction and an engaging plot from start to finish.
85,856,5,9.5,positive,2024-06-06,Great performances and stunning visuals throughout.
86,3585,1,5.2,neutral,2025-03-17,"Decent entertainment for a weekend, nothing groundbreaking."
87,4079,1,5.4,neutral,2025-02-12,"Decent entertainment for a weekend, nothing groundbreaking."
88,4369,9,4.9,negative,2024-07-23,Below average. The script needed a lot more work.
89,4470,5,7.7,positive,2024-12-12,Absolutely loved this film! The storytelling was phenomenal.
90,2989,1,6.1,neutral,2024-07-22,Average movie with some interesting moments here and there.
91,3350,7,7.8,positive,2024-08-18,A must-watch for fans of the genre. Highly recommended.
92,2861,4,7.3,positive,2025-01-02,Great performances and stunning visuals throughout.
93,4101,8,8.2,positive,2024-12-20,Exceeded my expectations in every way possible.
94,4785,6,9.4,positive,2025-02-11,Great performances and stunning visuals throughout.
95,4001,5,6.9,neutral,2024-12-04,"Some good parts, some slow parts. Mixed feelings overall."
96,4142,10,8.9,positive,2025-01-18,Absolutely loved this film! The storytelling was phenomenal.
97,734,6,9.0,positive,2025-02-09,Great performances and stunning visuals throughout.
98,2276,3,7.1,positive,2024-12-13,Exceeded my expectations in every way possible.
99,2069,8,2.1,negative,2024-07-15,Disappointed with the plot. Very predictable and boring.
100,2171,5,1.1,negative,2024-07-24,Would not recommend. Wasted potential on a promising premise.
101,2827,9,7.8,positive,2024-08-13,Exceeded my expectations in every way possible.
102,2342,6,6.5,neutral,2024-10-10,"Decent entertainment for a weekend, nothing groundbreaking."
103,939,4,9.4,positive,2025-01-24,Brilliant direction and an engaging plot from start to finish.
104,3974,7,6.2,neutral,2024-08-09,"Not bad, but could have been better with tighter editing."
105,1576,8,9.4,positive,2024-10-05,Great performances and stunning visuals throughout.
106,2560,3,6.5,neutral,2025-01-30,"Not bad, but could have been better with tighter editing."
107,3981,5,6.4,neutral,2024-08-01,"It was okay, nothing too special but watchable."
108,2214,1,9.5,positive,2024-08-27,A must-watch for fans of the genre. Highly recommended.
109,1567,5,7.6,positive,2024-08-19,Absolutely loved this film! The storytelling was phenomenal.
110,4563,4,8.2,positive,2024-08-13,A must-watch for fans of the genre. Highly recommended.
111,724,4,3.9,negative,2025-03-01,Below average. The script needed a lot more work.
112,2950,6,9.6,positive,2024-07-08,Absolutely loved this film! The storytelling was phenomenal.
113,2238,3,3.7,negative,2024-12-03,Not worth the hype. Overly long and lacking substance.
114,3013,7,5.7,neutral,2025-03-05,"Decent entertainment for a weekend, nothing groundbreaking."
115,2244,9,6.0,neutral,2024-08-28,"It was okay, nothing too special but watchable."
116,589,3,5.3,neutral,2024-12-18,"Decent entertainment for a weekend, nothing groundbreaking."
117,1511,10,7.1,positive,2024-09-17,A must-watch for fans of the genre. Highly recommended.
118,2034,3,9.2,positive,2024-12-26,Absolutely loved this film! The storytelling was phenomenal.
119,1267,7,7.7,positive,2024-08-04,Exceeded my expectations in every way possible.
120,3559,10,8.3,positive,2024-11-19,Exceeded my expectations in every way possible.
121,4757,5,4.4,negative,2024-12-15,Not worth the hype. Overly long and lacking substance.
122,3751,5,6.3,neutral,2025-03-26,"Decent entertainment for a weekend, nothing groundbreaking."
123,4974,10,5.6,neutral,2024-09-08,"Some good parts, some slow parts. Mixed feelings overall."
124,2840,8,5.8,neutral,2024-08-20,Average movie with some interesting moments here and there.
125,2136,10,2.6,negative,2024-06-03,Below average. The script needed a lot more work.
126,3463,8,1.9,negative,2025-02-12,Would not recommend. Wasted potential on a promising premise.
127,620,7,7.1,positive,2024-08-03,Great performances and stunning visuals throughout.
128,3963,8,4.5,negative,2024-06-08,The pacing was terrible and the acting felt forced throughout.
129,1699,9,7.1,positive,2025-03-01,A must-watch for fans of the genre. Highly recommended.
130,2613,2,7.3,positive,2025-02-18,Great performances and stunning visuals throughout.
131,4429,1,8.2,positive,2024-08-20,Exceeded my expectations in every way possible.
132,977,10,8.6,positive,2024-09-22,Great performances and stunning visuals throughout.
133,2994,4,6.3,neutral,2024-07-07,"Some good parts, some slow parts. Mixed feelings overall."
