campaign_id,movie_id,channel,spend_usd,impressions,clicks,conversions,campaign_month
1,7,Influencer,89881.89,4861865,120493,17385,2025-02
2,2,Email,52903.29,3204054,40988,2842,2024-08
3,6,Influencer,43922.54,4587524,58801,6251,2025-02
4,2,Search Ads,5063.53,3744493,54985,2254,2025-02
5,10,Display,8245.7,1189341,10506,694,2024-07
6,2,Display,61066.78,3391466,132120,10520,2025-02
7,9,Email,21131.4,2129736,103002,10375,2024-09
8,8,Influencer,43701.39,4368654,103260,3303,2024-11
9,2,Search Ads,1924.93,2528557,74301,10419,2024-07
10,8,Search Ads,41366.21,1072433,40899,3542,2025-02
11,9,Display,2250.55,2279166,38698,4180,2025-02
12,10,TV,11022.73,3088710,88603,11658,2024-09
13,3,TV,76176.32,4142628,124132,4065,2024-12
14,10,Social Media,59995.64,1970370,28905,4275,2025-04
15,5,Search Ads,49658.08,4859865,71083,6055,2024-08
16,7,Social Media,32291.96,686862,31550,1179,2024-07
17,3,Display,59183.37,565521,21248,1881,2025-02
18,9,TV,32210.86,2957766,40226,3768,2024-10
19,4,Search Ads,97677.53,3599194,133855,13605,2025-01
20,7,Display,75678.87,2586307,128777,5287,2025-02
21,4,Email,21959.76,739619,12421,463,2024-09
22,8,Social Media,49093.96,2255724,35574,884,2025-01
23,9,TV,15037.87,4080679,94014,5050,2024-11
24,2,Search Ads,52651.84,246137,8328,582,2024-08
25,1,TV,71122.2,3372471,77844,10781,2024-09
26,2,Search Ads,61679.21,4170838,47793,2842,2024-12
27,5,Influencer,87216.32,63699,2041,54,2024-07
28,6,Influencer,40823.01,611702,4670,353,2024-12
29,3,Display,68974.2,1721308,58302,7515,2024-09
30,5,Search Ads,97968.91,3993151,77893,4953,2024-09
31,9,Email,95520.85,3527946,19238,780,2025-01
32,9,Search Ads,94470.42,1539465,27318,743,2025-02
33,1,Search Ads,81585.61,2181558,81280,7176,2024-10
34,6,Display,75436.57,3961516,133593,3803,2024-11
35,2,Email,5107.87,197824,4662,664,2025-03
36,1,TV,39110.32,2679371,94586,5419,2025-03
37,6,Social Media,50047.75,2301852,98141,5995,2025-02
38,4,Influencer,33866.73,3489412,58069,5524,2024-09
39,5,Search Ads,10489.54,4665092,190797,17956,2024-11
40,7,Email,71869.86,527953,23013,2752,2024-11
41,7,Social Media,74696.84,674708,21311,632,2024-07
42,6,TV,64416.99,1167592,13812,1499,2025-01
43,4,Email,49804.36,1325787,31682,1187,2024-08
44,5,Influencer,89110.88,4566308,226330,6440,2024-07
45,9,Display,54181.97,3275331,69521,7976,2024-08
46,2,TV,30582.21,1285304,44424,6472,2024-08
47,8,Email,84922.8,1875003,78411,5456,2025-02
48,9,Display,28251.09,766612,9712,413,2025-01
49,2,Influencer,49082.21,2112650,35949,5050,2025-01
50,5,Social Media,56910.13,543535,8281,814,2025-03
51,4,Email,6175.96,3431088,38855,4475,2024-12
52,10,Search Ads,63802.27,857222,15152,1222,2024-08
53,6,TV,59963.1,1542746,72255,2044,2025-04
54,3,TV,81756.45,1932390,92242,4416,2024-11
55,1,Display,12808.73,3567214,84372,9330,2025-03
56,1,Influencer,89417.56,3298563,77709,9216,2024-07
57,2,Social Media,71095.5,4330341,128446,15849,2024-08
58,3,Display,71798.41,1114135,7015,467,2024-08
59,3,Display,86283.48,2822539,61038,7521,2025-02
60,1,Email,67391.43,774434,26371,748,2024-12
61,7,Influencer,14503.11,4384189,127692,9298,2025-03
62,10,TV,3117.7,222366,8194,432,2024-12
63,9,Email,16466.31,242187,4866,651,2024-11
64,4,Display,73637.06,3235333,56437,1816,2024-09
65,4,Social Media,81691.46,4701789,46223,1691,2024-11
66,7,Influencer,26951.12,4483068,104325,5191,2024-07
67,6,Influencer,18347.25,2674433,57610,8048,2025-04
68,8,Social Media,45275.78,1555291,67727,4406,2024-07
69,4,Search Ads,35288.74,1180315,33722,1944,2025-04
70,1,TV,64509.86,4549864,40783,1309,2025-04
71,6,TV,96835.26,1503221,49110,2553,2025-01
72,1,Social Media,10053.84,3215418,29542,3636,2024-10
73,3,Social Media,50072.08,4806449,172410,6229,2025-04
74,8,Display,42521.23,4309844,172550,4267,2024-12
75,6,Display,45277.46,792158,16858,2060,2024-09
76,7,Email,99471.36,1590550,49123,2795,2025-01
77,8,Influencer,84899.27,538071,20527,2638,2024-12
78,9,Social Media,62319.47,67666,2103,74,2025-04
79,4,Search Ads,31973.77,522685,11040,246,2025-01
80,6,TV,84140.93,3414187,134481,5032,2024-08
81,9,Display,6419.84,823696,17618,920,2024-07
82,7,Display,24640.68,16519,713,29,2025-02
83,8,TV,42472.32,3532985,105692,9738,2024-07
84,10,TV,43065.94,2473806,22362,1923,2024-08
85,7,Display,1759.99,1319146,59836,5973,2024-09
86,8,Social Media,18420.71,4432359,89726,3141,2024-10
87,2,TV,26564.41,2385674,97058,3111,2024-07
88,1,Email,6232.4,2885092,120455,17515,2025-03
89,5,Influencer,23467.69,1849390,89463,9322,2024-11
90,7,Search Ads,25187.89,4101680,72996,5017,2025-01
91,3,Influencer,90078.17,2838278,40837,4126,2025-01
